stop month,station id,number of bikes,avg trip duration,station name,latitude,longitude
January,485.0,2141,806.0513778608127,W 37 St & 5 Ave,40.75038009,-73.98338988
January,486.0,3509,655.3453975491593,Broadway & W 29 St,40.7462009,-73.98855723
January,487.0,3250,634.5233846153847,E 20 St & FDR Drive,40.73314259,-73.97573881
January,490.0,5266,817.3063045955184,8 Ave & W 33 St,40.751551,-73.993934
January,491.0,4164,590.9277137367916,E 24 St & Park Ave S,40.74096374,-73.98602213
January,492.0,4418,650.2913082842915,W 33 St & 7 Ave,40.75019995,-73.99093085
January,493.0,1874,742.3612593383137,W 45 St & 6 Ave,40.7568001,-73.98291153
January,494.0,3417,576.7014925373135,W 26 St & 8 Ave,40.74734825,-73.99723551
January,495.0,2336,654.6117294520548,W 47 St & 10 Ave,40.76269882,-73.99301222
January,496.0,3437,604.4148967122491,E 16 St & 5 Ave,40.73726186,-73.99238967
January,497.0,5816,681.2558459422283,E 17 St & Broadway,40.73704984,-73.99009296
January,498.0,3664,574.8384279475982,Broadway & W 32 St,40.74854862,-73.98808416
January,499.0,3460,776.9274566473988,Broadway & W 60 St,40.76915505,-73.98191841
January,500.0,2373,621.008428150021,Broadway & W 51 St,40.76228826,-73.98336183
January,501.0,2154,748.7850510677808,FDR Drive & E 35 St,40.744219,-73.97121214
January,502.0,2272,649.7174295774648,Henry St & Grand St,40.714215,-73.981346
January,503.0,2919,651.2747516272697,E 20 St & Park Ave,40.73827428,-73.98751968
January,504.0,4328,589.7795748613678,1 Ave & E 16 St,40.73221853,-73.98165557
January,505.0,4607,810.2873887562405,6 Ave & W 33 St,40.74901271,-73.98848395
January,507.0,3318,703.5895117540687,E 25 St & 2 Ave,40.73912601,-73.97973776
January,508.0,1977,760.1886697015681,W 46 St & 11 Ave,40.76341379,-73.99667444
January,509.0,3517,614.3176002274666,9 Ave & W 22 St,40.7454973,-74.00197139
January,513.0,1912,658.5020920502092,W 56 St & 10 Ave,40.768254,-73.988639
January,514.0,2625,954.3584761904762,12 Ave & W 40 St,40.76087502,-74.00277668
January,515.0,2664,639.3708708708708,W 43 St & 10 Ave,40.76009437,-73.99461843
January,516.0,999,819.08008008008,E 47 St & 1 Ave,40.75206862,-73.96784384
January,517.0,4101,735.1150938795415,Pershing Square South,40.751581,-73.97791
January,518.0,3072,724.248046875,E 39 St & 2 Ave,40.74780373,-73.97344190000001
January,519.0,8905,752.8519932622122,Pershing Square North,40.751872999999996,-73.97770600000001
January,520.0,2048,912.46337890625,W 52 St & 5 Ave,40.75992262,-73.97648516
January,522.0,1984,800.8876008064516,E 51 St & Lexington Ave,40.75714758,-73.97207836
January,523.0,4662,725.8410553410554,W 38 St & 8 Ave,40.75466591,-73.99138152
January,524.0,2679,734.6965285554311,W 43 St & 6 Ave,40.75527307,-73.98316936
January,525.0,1533,891.7142857142857,W 34 St & 11 Ave,40.75594159,-74.0021163
January,526.0,2631,851.7571265678449,E 33 St & 5 Ave,40.74765947,-73.98490707
January,528.0,3190,613.4432601880877,2 Ave & E 31 St,40.74290902,-73.97706058
January,529.0,2680,719.7559701492537,W 42 St & 8 Ave,40.75756989999999,-73.99098507
January,530.0,2403,823.2334581772784,11 Ave & W 59 St,40.771496710544405,-73.99046033620834
January,531.0,2780,706.5669064748201,Forsyth St & Broome St,40.71893904,-73.99266288
January,532.0,1256,1052.5429936305732,S 5 Pl & S 5 St,40.710451,-73.960876
January,533.0,2564,717.9321372854914,Broadway & W 38 St,40.75299641,-73.98721619
January,534.0,1035,737.9884057971014,Water - Whitehall Plaza,40.70255065,-74.0127234
January,536.0,2578,644.6481768813034,1 Ave & E 30 St,40.74144387,-73.97536082
January,539.0,2344,640.2273890784983,Metropolitan Ave & Bedford Ave,40.71534825,-73.96024116
January,540.0,2763,718.8697068403909,Lexington Ave & E 29 St,40.74311555376486,-73.98215353488922
January,545.0,3566,671.8541783510937,E 23 St & 1 Ave,40.736502,-73.97809472
January,546.0,1897,622.2198207696363,E 30 St & Park Ave S,40.74444921,-73.98303529
January,2000.0,1532,847.0287206266319,Front St & Washington St,40.70255088,-73.98940236
January,2002.0,1733,779.6318522792844,Wythe Ave & Metropolitan Ave,40.716887,-73.96319799999999
January,2003.0,3249,592.9052016004924,1 Ave & E 18 St,40.73381219196632,-73.9805442094803
January,2005.0,34,799.5,Railroad Ave & Kay Ave,40.70531194,-73.97100056
January,2006.0,2863,1166.5480265455815,Central Park S & 6 Ave,40.76590936,-73.97634151
January,2008.0,1816,800.0468061674009,Little West St & 1 Pl,40.70569254,-74.01677685
January,2009.0,1587,668.7555135475741,Catherine St & Monroe St,40.71117444,-73.99682619
January,2010.0,1724,1268.961716937355,Grand St & Greene St,40.72165481,-74.00234737
January,2012.0,2583,697.6171118854046,E 27 St & 1 Ave,40.739445,-73.97680600000001
January,2021.0,2808,809.1777065527066,W 45 St & 8 Ave,40.75929124,-73.98859651
January,2022.0,557,892.4793536804309,E 60 St & York Ave,40.759107,-73.959223
